                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0886,                0.87205,                 1.3856,                0.95362,                0.89032,                 0.9506,                0.68526,                0.92746,                0.93535,                  1.199,               0.003268,               0.003268,               0.003268
                     36,                 1.0806,                0.84971,                 1.3811,                0.94489,                0.89853,                0.95165,                0.69085,                  0.941,                0.84591,                 1.2111,                0.00307,                0.00307,                0.00307
                     37,                 1.0708,                 0.8322,                 1.3749,                0.95566,                0.89742,                0.95217,                 0.6918,                0.92726,                 1.0166,                 1.2051,               0.002872,               0.002872,               0.002872
                     38,                 1.0654,                0.83052,                 1.3758,                0.96057,                0.90008,                0.95226,                0.69474,                0.92529,                0.99247,                 1.1918,               0.002674,               0.002674,               0.002674
                     39,                 1.0466,                0.80006,                 1.3516,                0.96547,                0.89912,                0.95264,                0.69925,                0.90385,                0.95054,                 1.1828,               0.002476,               0.002476,               0.002476
                     40,                  1.038,                 0.7941,                 1.3479,                0.95799,                0.90088,                0.95591,                0.69981,                0.91393,                0.88897,                  1.193,               0.002278,               0.002278,               0.002278
                     41,                 1.0227,                0.79639,                 1.3451,                0.95198,                0.89522,                0.95265,                0.69942,                0.91924,                0.87363,                 1.1886,                0.00208,                0.00208,                0.00208
                     42,                 1.0206,                0.78326,                 1.3421,                0.95009,                0.91085,                0.95369,                0.70047,                0.92107,                0.88336,                 1.1907,               0.001882,               0.001882,               0.001882
                     43,                 1.0046,                0.76954,                 1.3306,                0.95618,                0.90499,                0.95673,                0.70659,                0.91508,                0.88654,                  1.189,               0.001684,               0.001684,               0.001684
                     44,                0.99777,                0.76719,                 1.3172,                 0.9636,                0.90064,                0.95607,                0.70432,                0.90521,                0.90135,                 1.1827,               0.001486,               0.001486,               0.001486
                     45,                0.98101,                0.75145,                 1.3083,                0.95242,                0.91144,                0.95698,                  0.709,                0.90003,                0.85938,                 1.1769,               0.001288,               0.001288,               0.001288
                     46,                0.98536,                0.73105,                 1.3089,                0.95817,                0.90792,                0.95664,                 0.7089,                0.90503,                0.83263,                 1.1779,                0.00109,                0.00109,                0.00109
                     47,                0.97786,                0.73062,                 1.3099,                0.96012,                0.90088,                0.95601,                 0.7079,                0.89756,                0.80873,                 1.1734,               0.000892,               0.000892,               0.000892
                     48,                0.96637,                0.71969,                 1.3001,                0.96215,                0.90934,                0.95578,                0.70743,                  0.902,                0.83233,                 1.1799,               0.000694,               0.000694,               0.000694
                     49,                0.96211,                0.70417,                 1.2895,                0.95423,                0.91144,                0.95776,                0.71011,                    0.9,                 0.8483,                 1.1786,               0.000496,               0.000496,               0.000496
