               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.022309,           0.0046601,                   0,             0.95762,             0.96687,             0.98597,             0.79351,            0.014325,           0.0018515,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.022255,           0.0044922,                   0,             0.96051,             0.96468,             0.98725,             0.79747,            0.014284,           0.0018301,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.021969,           0.0045213,                   0,             0.96022,             0.96617,             0.98715,             0.80043,            0.014167,           0.0018155,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.021629,           0.0045099,                   0,             0.95842,             0.96971,              0.9875,             0.80367,            0.014012,           0.0017994,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.021373,           0.0043973,                   0,             0.95917,             0.97132,             0.98786,             0.80545,             0.01393,           0.0017846,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.021231,           0.0043198,                   0,             0.96045,             0.97195,             0.98852,             0.80798,            0.013811,           0.0017671,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.020683,           0.0043246,                   0,             0.96143,             0.97377,             0.98861,             0.81058,            0.013675,           0.0017506,                   0,            0.001486,            0.001486,            0.001486
                  45,             0.02059,           0.0043613,                   0,             0.96645,             0.96952,             0.98893,             0.81246,            0.013582,           0.0017375,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.020329,           0.0042795,                   0,             0.96442,             0.97095,             0.98915,             0.81506,            0.013475,           0.0017224,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.019865,           0.0042106,                   0,             0.96601,             0.97022,             0.98931,             0.81667,            0.013358,           0.0017106,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.019792,           0.0041797,                   0,             0.96344,             0.97151,             0.98941,             0.81846,            0.013256,            0.001701,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.019345,           0.0041468,                   0,             0.96621,             0.97139,             0.98936,             0.81927,            0.013175,           0.0016933,                   0,            0.000496,            0.000496,            0.000496
