               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.058521,            0.012563,                   0,             0.84021,             0.74135,             0.84642,             0.50028,            0.029275,           0.0042748,                   0,            0.070033,           0.0033296,           0.0033296
                   1,            0.039261,           0.0077963,                   0,             0.88916,             0.84627,             0.90897,             0.57617,            0.025775,           0.0035044,                   0,            0.038714,           0.0053437,           0.0053437
                   2,            0.036611,           0.0066715,                   0,             0.86578,             0.82104,             0.88815,             0.52991,            0.027158,           0.0032863,                   0,           0.0060748,           0.0060378,           0.0060378
                   3,            0.033459,           0.0063154,                   0,             0.91106,             0.86983,             0.92948,             0.60648,            0.023451,           0.0028424,                   0,             0.00406,             0.00406,             0.00406
                   4,            0.032411,           0.0061212,                   0,             0.90858,             0.86241,              0.9342,             0.60586,            0.023864,            0.002819,                   0,             0.00406,             0.00406,             0.00406
