               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.061961,             0.01299,                   0,             0.75647,             0.63293,             0.74614,             0.40246,            0.032143,           0.0047091,                   0,            0.070033,           0.0033296,           0.0033296
                   1,              0.0439,           0.0082728,                   0,             0.79914,             0.72495,              0.8092,             0.45793,            0.029845,            0.004133,                   0,            0.039967,            0.006597,            0.006597
                   2,            0.042954,           0.0076716,                   0,             0.79477,             0.62928,             0.72403,             0.38352,            0.033113,           0.0047063,                   0,           0.0098354,           0.0097984,           0.0097984
                   3,            0.041138,           0.0075407,                   0,             0.84442,             0.68534,             0.78896,              0.4497,            0.029754,           0.0038324,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.038824,           0.0072508,                   0,                0.88,             0.73341,             0.83702,             0.47911,            0.028758,           0.0034832,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.036943,           0.0070822,                   0,             0.88131,             0.81034,             0.88745,              0.5364,             0.02648,           0.0032725,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.035794,           0.0068926,                   0,             0.90673,             0.81327,             0.89813,              0.5519,            0.026161,           0.0031954,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.035075,           0.0066864,                   0,             0.89182,              0.8274,             0.90317,             0.56972,            0.025643,           0.0031892,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.034236,           0.0065606,                   0,             0.87624,             0.84171,             0.90933,             0.57067,            0.025406,           0.0030713,                   0,            0.009307,            0.009307,            0.009307
                   9,             0.03374,            0.006567,                   0,             0.89748,             0.84071,             0.90543,             0.57524,            0.024796,           0.0031667,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.033281,           0.0064062,                   0,             0.88812,             0.82776,             0.90337,             0.57934,            0.024827,           0.0031033,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.033091,           0.0063684,                   0,             0.89565,             0.85649,             0.92235,             0.59588,            0.023882,           0.0029408,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.032652,           0.0064028,                   0,             0.90714,             0.87008,             0.92702,              0.6055,            0.023528,           0.0029494,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.032338,           0.0063246,                   0,             0.90193,             0.86658,             0.93226,             0.62145,            0.022875,           0.0028756,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.032157,           0.0062407,                   0,             0.88973,             0.85537,             0.91889,             0.61311,            0.023295,            0.002922,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.031745,           0.0063472,                   0,             0.92799,             0.86887,             0.93493,             0.63105,            0.022519,           0.0028328,                   0,            0.008614,            0.008614,            0.008614
