                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2348,                 1.0545,                 1.4668,                0.92961,                0.86862,                0.93117,                0.64728,                 1.0351,                 1.1313,                 1.2693,               0.006733,               0.006733,               0.006733
                     35,                 1.2295,                 1.0374,                 1.4648,                0.93012,                0.86569,                0.93019,                 0.6455,                 1.0257,                 1.2213,                 1.2517,               0.006634,               0.006634,               0.006634
                     36,                 1.2221,                 1.0216,                 1.4559,                0.93863,                0.87013,                0.93311,                0.64919,                  1.019,                 1.1527,                 1.2557,               0.006535,               0.006535,               0.006535
                     37,                 1.2174,                 1.0129,                 1.4577,                0.94305,                0.87415,                0.93657,                0.65574,                 1.0247,                 1.2606,                 1.2658,               0.006436,               0.006436,               0.006436
                     38,                 1.2178,                  1.005,                 1.4588,                0.93378,                0.87625,                0.93534,                0.65215,                 1.0114,                 1.2376,                 1.2494,               0.006337,               0.006337,               0.006337
                     39,                 1.2015,                0.98649,                 1.4416,                0.94778,                0.86219,                0.93733,                0.66043,                0.99317,                  1.193,                 1.2355,               0.006238,               0.006238,               0.006238
                     40,                 1.1921,                0.98709,                 1.4374,                0.93562,                0.87793,                0.93668,                0.66671,                0.98779,                 1.0814,                 1.2373,               0.006139,               0.006139,               0.006139
                     41,                 1.1796,                0.99758,                 1.4407,                0.92346,                 0.8868,                0.93743,                0.66761,                0.98377,                0.99726,                 1.2286,                0.00604,                0.00604,                0.00604
                     42,                  1.186,                0.98321,                 1.4405,                0.94076,                0.87549,                0.93964,                0.66134,                0.98577,                 1.1368,                 1.2328,               0.005941,               0.005941,               0.005941
                     43,                 1.1741,                0.96462,                 1.4251,                0.93929,                0.87683,                0.94351,                0.66203,                0.98622,                 1.0404,                 1.2329,               0.005842,               0.005842,               0.005842
                     44,                  1.171,                0.96237,                 1.4184,                0.94872,                0.87895,                0.94127,                0.67075,                0.97864,                0.98288,                 1.2191,               0.005743,               0.005743,               0.005743
                     45,                 1.1527,                0.95104,                 1.4033,                0.94574,                0.88094,                 0.9416,                0.66952,                0.97353,                 1.0812,                 1.2148,               0.005644,               0.005644,               0.005644
                     46,                 1.1611,                0.93614,                  1.408,                0.93606,                0.88563,                0.94363,                0.67379,                 0.9662,                 1.0011,                 1.2088,               0.005545,               0.005545,               0.005545
                     47,                 1.1581,                0.94494,                 1.4085,                0.94041,                0.87935,                0.94511,                0.67383,                0.95592,                 1.0267,                 1.2021,               0.005446,               0.005446,               0.005446
                     48,                 1.1624,                0.93683,                 1.4131,                0.94995,                0.87951,                0.94381,                0.67338,                0.95418,                  1.032,                 1.2048,               0.005347,               0.005347,               0.005347
                     49,                 1.1435,                0.91508,                 1.3952,                 0.9456,                0.88622,                0.94589,                 0.6776,                0.94978,                0.98237,                 1.2038,               0.005248,               0.005248,               0.005248
                     50,                 1.1298,                0.91302,                 1.3944,                0.95445,                0.88915,                0.94996,                0.68053,                0.94306,                 0.9428,                 1.1925,               0.005149,               0.005149,               0.005149
                     51,                 1.1462,                0.92462,                 1.3927,                  0.951,                0.89032,                0.94769,                 0.6826,                0.95036,                0.96731,                  1.195,                0.00505,                0.00505,                0.00505
                     52,                 1.1332,                0.90503,                  1.389,                0.95586,                0.88899,                0.94857,                0.68412,                0.94679,                 1.0434,                 1.1868,               0.004951,               0.004951,               0.004951
                     53,                  1.132,                0.89878,                 1.3851,                0.95602,                0.89246,                0.95102,                0.68598,                0.94068,                0.96988,                 1.1875,               0.004852,               0.004852,               0.004852
                     54,                 1.1304,                0.88725,                 1.3829,                0.96194,                0.88932,                0.94938,                0.68923,                0.93208,                0.97952,                 1.1768,               0.004753,               0.004753,               0.004753
                     55,                 1.1104,                0.87975,                 1.3703,                0.94803,                0.89267,                0.95009,                0.69066,                0.93531,                0.96686,                 1.1793,               0.004654,               0.004654,               0.004654
                     56,                 1.1157,                0.88776,                 1.3805,                0.94767,                0.89212,                0.94851,                0.68987,                 0.9326,                0.94943,                 1.1816,               0.004555,               0.004555,               0.004555
                     57,                 1.1201,                0.88199,                  1.376,                0.94849,                0.89634,                 0.9497,                0.68954,                0.93008,                0.95103,                 1.1782,               0.004456,               0.004456,               0.004456
                     58,                 1.1045,                0.87935,                 1.3702,                0.95117,                0.89384,                0.95031,                 0.6886,                0.93348,                0.91522,                 1.1794,               0.004357,               0.004357,               0.004357
                     59,                 1.1045,                0.87912,                 1.3727,                0.95865,                0.88739,                0.95124,                 0.6929,                0.92536,                0.91382,                 1.1742,               0.004258,               0.004258,               0.004258
                     60,                 1.0963,                0.86716,                 1.3581,                0.96004,                0.88783,                0.95232,                0.69458,                0.92087,                0.91765,                 1.1704,               0.004159,               0.004159,               0.004159
                     61,                 1.0845,                0.85426,                 1.3524,                0.96136,                0.89012,                0.95357,                0.69646,                0.91538,                0.93263,                 1.1679,                0.00406,                0.00406,                0.00406
