                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.3804,                 4.1998,                 3.7554,                0.12389,                0.11554,                0.05393,                0.01634,                 2.5519,                 4.4376,                 3.0229,               0.070048,               0.003328,               0.003328
                      1,                 2.7491,                  2.982,                 2.9855,                 0.1805,                0.12493,                0.08041,                 0.0281,                 2.4426,                 5.1306,                 2.7802,               0.039982,              0.0065954,              0.0065954
                      2,                 2.1942,                 2.3863,                 2.4209,                0.59143,                0.51026,                0.51624,                0.23045,                 1.7901,                  4.792,                  2.064,              0.0098497,              0.0097968,              0.0097968
                      3,                 1.9178,                    2.1,                 2.1644,                 0.7662,                0.54194,                0.65145,                0.31857,                 1.6832,                 2.0987,                 1.9606,               0.009703,               0.009703,               0.009703
                      4,                 1.7681,                 1.8724,                 1.9819,                0.76722,                0.64566,                0.72862,                 0.3987,                 1.5264,                 3.7022,                 1.7864,               0.009703,               0.009703,               0.009703
                      5,                 1.6776,                 1.7476,                 1.9141,                0.79717,                0.66159,                0.76981,                 0.4126,                 1.4633,                 4.2581,                 1.7052,               0.009604,               0.009604,               0.009604
                      6,                 1.6167,                 1.6352,                 1.8551,                0.84586,                 0.7173,                0.81305,                0.47057,                 1.3882,                 1.9668,                 1.6385,               0.009505,               0.009505,               0.009505
                      7,                 1.5579,                 1.5492,                 1.7941,                0.86796,                 0.7248,                0.83265,                 0.4881,                 1.3466,                 2.8766,                 1.6055,               0.009406,               0.009406,               0.009406
                      8,                 1.5187,                 1.4733,                 1.7583,                0.86785,                0.75107,                0.83891,                 0.5148,                 1.2798,                 2.1132,                 1.5216,               0.009307,               0.009307,               0.009307
                      9,                 1.4782,                 1.4397,                 1.7272,                0.85196,                0.72906,                0.81928,                0.48846,                  1.328,                 2.6159,                 1.5819,               0.009208,               0.009208,               0.009208
                     10,                 1.4578,                 1.3881,                    1.7,                0.89321,                0.77126,                0.86059,                0.53104,                 1.2556,                 1.8374,                  1.509,               0.009109,               0.009109,               0.009109
                     11,                 1.4331,                 1.3471,                 1.6786,                0.87853,                  0.772,                0.86794,                0.53534,                 1.2562,                 1.9114,                 1.5001,                0.00901,                0.00901,                0.00901
                     12,                 1.4068,                 1.3127,                 1.6434,                0.91278,                0.78534,                0.88263,                 0.5591,                 1.2008,                 1.8886,                 1.4441,               0.008911,               0.008911,               0.008911
                     13,                 1.3875,                 1.2891,                 1.6443,                 0.8854,                 0.8088,                0.88506,                0.55551,                 1.1769,                 2.0645,                 1.4219,               0.008812,               0.008812,               0.008812
                     14,                 1.3776,                 1.2494,                 1.6233,                0.89289,                0.80997,                0.89423,                0.58047,                 1.1407,                 1.3714,                 1.3937,               0.008713,               0.008713,               0.008713
                     15,                 1.3473,                 1.2131,                 1.5933,                0.91089,                0.83226,                0.90071,                0.57812,                 1.1458,                 1.5406,                 1.3807,               0.008614,               0.008614,               0.008614
                     16,                 1.3406,                 1.1892,                 1.5755,                0.91209,                0.81642,                0.90038,                0.59097,                 1.1527,                 1.5127,                 1.3988,               0.008515,               0.008515,               0.008515
                     17,                 1.3272,                 1.1855,                 1.5769,                0.91898,                0.83821,                0.90985,                0.60827,                  1.107,                 1.4369,                 1.3718,               0.008416,               0.008416,               0.008416
                     18,                 1.3003,                 1.1296,                 1.5547,                0.91515,                0.83503,                0.90952,                0.60191,                 1.0966,                 1.5418,                 1.3453,               0.008317,               0.008317,               0.008317
                     19,                 1.2822,                 1.1373,                 1.5446,                0.92746,                0.84047,                 0.9199,                 0.6119,                 1.0905,                 1.4588,                 1.3393,               0.008218,               0.008218,               0.008218
                     20,                 1.2777,                 1.1253,                 1.5427,                0.89478,                0.85689,                0.91488,                0.61504,                 1.0744,                 1.3941,                 1.3289,               0.008119,               0.008119,               0.008119
                     21,                 1.2734,                 1.1029,                 1.5217,                0.92701,                0.85337,                0.92095,                0.62793,                 1.0523,                 1.4149,                 1.3013,                0.00802,                0.00802,                0.00802
                     22,                 1.2399,                 1.0761,                  1.514,                0.91084,                0.85679,                 0.9205,                0.62797,                 1.0402,                 1.4411,                 1.3015,               0.007921,               0.007921,               0.007921
                     23,                 1.2579,                 1.0801,                 1.5299,                0.92931,                0.86353,                0.92998,                0.63498,                 1.0429,                 1.1178,                 1.3067,               0.007822,               0.007822,               0.007822
                     24,                 1.2325,                 1.0524,                 1.4977,                0.93565,                0.86128,                0.92896,                0.62519,                 1.0567,                 1.2193,                 1.3269,               0.007723,               0.007723,               0.007723
                     25,                 1.2251,                 1.0327,                  1.508,                0.93356,                0.86533,                 0.9339,                0.64244,                 1.0336,                 1.1695,                 1.2974,               0.007624,               0.007624,               0.007624
                     26,                 1.2127,                 1.0241,                 1.4919,                0.94207,                0.86158,                0.93531,                0.64893,                 1.0177,                 1.1924,                 1.2891,               0.007525,               0.007525,               0.007525
                     27,                 1.2159,                 1.0038,                 1.4964,                   0.93,                0.86921,                 0.9344,                0.64729,                 1.0177,                 1.1385,                 1.2895,               0.007426,               0.007426,               0.007426
                     28,                 1.1947,                0.99785,                  1.475,                 0.9385,                0.87918,                 0.9372,                0.65529,                 1.0117,                 1.2164,                 1.2656,               0.007327,               0.007327,               0.007327
                     29,                 1.1957,                 1.0011,                 1.4734,                0.93701,                0.88152,                0.94117,                0.65986,                0.99708,                 1.1958,                 1.2636,               0.007228,               0.007228,               0.007228
