                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.99662,                0.78019,                 1.3451,                0.95777,                0.89971,                0.95741,                0.71548,                0.86167,                0.89109,                 1.1779,               0.003268,               0.003268,               0.003268
                     36,                0.99974,                0.76186,                 1.3481,                0.94372,                0.91144,                0.95832,                0.71989,                0.85584,                0.75378,                 1.1817,                0.00307,                0.00307,                0.00307
                     37,                0.98578,                 0.7496,                 1.3335,                0.94273,                0.91848,                0.95745,                0.71543,                0.85933,                0.98599,                 1.1848,               0.002872,               0.002872,               0.002872
                     38,                0.97693,                0.74731,                   1.33,                0.95742,                0.90998,                0.96025,                0.72361,                0.84578,                0.85756,                 1.1552,               0.002674,               0.002674,               0.002674
                     39,                0.96389,                0.72086,                 1.3174,                0.94992,                0.91229,                0.95816,                 0.7302,                0.83767,                0.88717,                 1.1525,               0.002476,               0.002476,               0.002476
                     40,                0.93773,                0.70809,                 1.2986,                0.95381,                0.90841,                0.96064,                0.72912,                0.84197,                 1.0004,                 1.1612,               0.002278,               0.002278,               0.002278
                     41,                0.93164,                0.71334,                 1.2962,                0.96094,                0.90909,                0.96099,                0.72979,                0.83613,                 0.9251,                 1.1581,                0.00208,                0.00208,                0.00208
                     42,                0.93109,                0.69346,                 1.3011,                0.95767,                0.91564,                0.96186,                0.73116,                 0.8433,                0.88195,                 1.1614,               0.001882,               0.001882,               0.001882
                     43,                 0.9112,                0.68474,                  1.284,                0.95338,                0.92082,                0.96366,                0.73407,                0.83703,                0.89767,                 1.1549,               0.001684,               0.001684,               0.001684
                     44,                0.90092,                0.67736,                 1.2702,                0.95933,                0.91378,                 0.9629,                0.73836,                0.82101,                0.81994,                 1.1431,               0.001486,               0.001486,               0.001486
                     45,                0.88498,                0.66543,                 1.2621,                   0.97,                0.90499,                0.96168,                 0.7382,                 0.8159,                0.86555,                 1.1446,               0.001288,               0.001288,               0.001288
                     46,                0.88698,                0.64207,                  1.259,                0.95858,                0.92299,                0.96381,                0.73754,                0.81578,                0.79035,                 1.1412,                0.00109,                0.00109,                0.00109
                     47,                0.87869,                0.64618,                 1.2587,                0.95515,                0.92023,                0.96482,                0.74021,                0.81104,                0.79813,                 1.1345,               0.000892,               0.000892,               0.000892
                     48,                0.87301,                0.63714,                 1.2566,                0.96434,                 0.9132,                0.96439,                0.74119,                0.80755,                0.82424,                 1.1335,               0.000694,               0.000694,               0.000694
                     49,                0.85988,                0.62126,                  1.238,                0.97146,                0.90381,                0.96542,                0.74253,                 0.8074,                0.84069,                 1.1345,               0.000496,               0.000496,               0.000496
