                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1733,                0.96093,                 1.4112,                0.94762,                0.86862,                0.93858,                0.65606,                 1.0246,                  1.063,                 1.2396,               0.003268,               0.003268,               0.003268
                     36,                 1.1699,                0.95549,                 1.4107,                0.94082,                0.86979,                0.93922,                0.65908,                  1.005,                0.99181,                 1.2375,                0.00307,                0.00307,                0.00307
                     37,                 1.1608,                0.93923,                 1.4054,                0.93644,                0.88141,                0.93918,                0.66097,                 1.0079,                 1.2039,                 1.2304,               0.002872,               0.002872,               0.002872
                     38,                 1.1451,                0.92386,                 1.3987,                0.94712,                0.88035,                0.94308,                0.66396,                0.99099,                 1.0395,                 1.2219,               0.002674,               0.002674,               0.002674
                     39,                 1.1387,                0.89815,                 1.3851,                0.94505,                0.87566,                0.94026,                0.66801,                0.98365,                0.93988,                 1.2214,               0.002476,               0.002476,               0.002476
                     40,                 1.1325,                0.89557,                 1.3863,                0.94401,                0.88994,                 0.9451,                0.66885,                0.98069,                0.88909,                 1.2192,               0.002278,               0.002278,               0.002278
                     41,                 1.1136,                0.90002,                  1.381,                0.94189,                0.88406,                0.94561,                0.67103,                 0.9779,                0.89934,                 1.2054,                0.00208,                0.00208,                0.00208
                     42,                 1.1194,                0.89012,                 1.3799,                0.93627,                0.89032,                0.94274,                0.67475,                0.97653,                 0.9465,                 1.2051,               0.001882,               0.001882,               0.001882
                     43,                 1.1051,                0.86423,                 1.3708,                0.94795,                0.88446,                0.94552,                 0.6767,                0.96713,                0.95447,                 1.2008,               0.001684,               0.001684,               0.001684
                     44,                 1.0953,                0.86319,                 1.3544,                0.94732,                0.89619,                0.94943,                0.67722,                0.96836,                0.91032,                 1.2038,               0.001486,               0.001486,               0.001486
                     45,                 1.0834,                0.84567,                 1.3505,                0.93663,                0.89619,                0.94594,                  0.678,                0.96256,                0.88569,                 1.1979,               0.001288,               0.001288,               0.001288
                     46,                 1.0787,                 0.8316,                 1.3451,                0.94054,                 0.8907,                0.94778,                0.67963,                0.96315,                0.93651,                 1.1975,                0.00109,                0.00109,                0.00109
                     47,                 1.0799,                0.83586,                 1.3503,                 0.9437,                0.89463,                0.94764,                0.68129,                0.95438,                0.90241,                  1.191,               0.000892,               0.000892,               0.000892
                     48,                  1.073,                0.82959,                 1.3467,                0.94216,                0.89811,                0.94868,                0.68206,                0.96383,                0.90944,                 1.1954,               0.000694,               0.000694,               0.000694
                     49,                 1.0563,                0.81003,                 1.3269,                0.93876,                0.89736,                0.94717,                 0.6816,                0.96199,                0.93987,                 1.1951,               0.000496,               0.000496,               0.000496
