               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  27,            0.028241,           0.0055986,                   0,             0.93274,             0.92008,             0.96325,             0.69414,            0.019088,           0.0024295,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.028136,           0.0056998,                   0,              0.9237,             0.91502,             0.96093,             0.69495,            0.018832,           0.0024455,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.027755,           0.0056435,                   0,             0.93369,             0.92151,             0.96452,             0.70336,            0.018802,           0.0023892,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.027531,           0.0054882,                   0,             0.93988,             0.92284,             0.96762,             0.70727,             0.01847,           0.0023654,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.027441,           0.0055676,                   0,             0.93898,             0.92473,             0.96733,             0.71274,            0.018546,           0.0023553,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.027051,           0.0055055,                   0,             0.93211,             0.93185,             0.96744,             0.71243,            0.018338,           0.0023234,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.026891,           0.0054767,                   0,             0.92919,             0.92894,             0.96803,               0.716,            0.018095,           0.0023276,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.026564,            0.005459,                   0,             0.92559,             0.93293,             0.96934,             0.71906,            0.017982,           0.0023064,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.026432,           0.0053295,                   0,             0.93609,             0.93839,             0.97114,             0.72356,            0.017792,           0.0022806,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.026385,           0.0054468,                   0,             0.93817,             0.93413,             0.97099,             0.72816,             0.01767,           0.0022633,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.025863,           0.0053239,                   0,             0.93451,             0.93478,             0.97094,             0.72664,            0.017562,           0.0022571,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.025805,           0.0053359,                   0,             0.93917,             0.93707,              0.9719,             0.72871,            0.017461,            0.002235,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.025854,           0.0051637,                   0,             0.94179,             0.93774,             0.97324,             0.73337,             0.01733,           0.0022191,                   0,            0.002476,            0.002476,            0.002476
                  40,             0.02547,           0.0052121,                   0,              0.9455,             0.93762,              0.9744,             0.73723,            0.017188,           0.0022064,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.025159,           0.0051957,                   0,             0.94522,             0.93726,             0.97469,              0.7405,            0.017059,           0.0021868,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.024981,           0.0050803,                   0,             0.94712,             0.93862,             0.97519,             0.74301,            0.016916,             0.00217,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.024902,           0.0050442,                   0,             0.94247,              0.9452,             0.97565,             0.74495,            0.016837,           0.0021629,                   0,            0.001684,            0.001684,            0.001684
                  44,             0.02443,           0.0050613,                   0,              0.9469,             0.94063,             0.97543,             0.74692,            0.016722,           0.0021537,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.024242,           0.0051252,                   0,             0.94726,             0.94219,             0.97595,             0.74751,            0.016656,           0.0021441,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.024146,           0.0050087,                   0,              0.9499,             0.94159,             0.97657,             0.74971,            0.016555,           0.0021281,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.023605,           0.0049476,                   0,             0.95098,             0.94471,             0.97779,             0.75055,            0.016479,           0.0021163,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.023532,           0.0049456,                   0,             0.95017,             0.94659,             0.97766,             0.75263,            0.016422,           0.0021065,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.023256,           0.0049036,                   0,             0.95017,             0.94422,             0.97765,             0.75393,            0.016362,           0.0020998,                   0,            0.000496,            0.000496,            0.000496
